OSEBuildingID	%NaturalGas(kBtu)	%SteamUse(kBtu)	BuildingType	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SourceEUI(kBtu/sf)	SiteEnergyUse(kBtu)	TotalGHGEmissions	GHGEmissionsIntensity	tranche_date	BuildingAge	groups_neighborhood	groups_PrimaryPropertyType	GFABuildingRate
1	-0.10215554896635361	1.7807595581619355	NonResidential	-5.199337582605575	1.57946928219599	0.5264163215263186	-0.6983314427289391	0.4683746381226802	0.6861546622712047	1.063067471349509	1.0327257027323398	tranche_date1	89	Various	Various	5.19933758270342
2	1.1249283121304923	-5.199337582605575	NonResidential	-5.199337582605575	1.5130753466158215	0.6726266142240072	-0.6760671754203302	0.40402870210000946	0.7855122591020575	1.1860948201413022	1.0381208143315903	tranche_date3	20	Various	Various	-0.8914329432573787
3	-0.44964390225075473	1.8115144822263165	NonResidential	-5.199337582605575	2.391518094767584	2.2945604519469027	-1.0181277810188114	0.8722600286027766	2.7649084288771313	2.95670623829439	0.7980358274390273	tranche_date2	47	Various	Various	-1.0247619920555515
5	0.07837022471673612	1.850416150716632	NonResidential	-5.199337582605575	1.4314384013851016	0.25769982054498297	-0.7945871296662126	0.7116133074099623	0.6480324416797174	1.1531354619385872	1.474776598719862	tranche_date1	90	Various	Various	5.19933758270342
8	1.1649107092319448	-5.199337582605575	NonResidential	-5.199337582605575	1.8111948113809966	1.046168510082459	0.551687720243482	0.6824729163430326	1.145998104068095	1.5994879861864708	1.042422562808289	tranche_date3	36	Various	Various	-1.43228870365125
9	0.37363416717335757	-5.199337582605575	Nonresidential COS	-5.199337582605575	-0.25905710256854775	0.6075473961592499	-0.13858315006072774	1.1901924685479863	1.040311619055709	1.2045314191229843	1.1281436452787637	tranche_date3	17	Various	Various	-1.565053975140188
10	0.7657861831952371	-5.199337582605575	NonResidential	-5.199337582605575	1.5130753466158215	0.4776096570206069	-1.2918970901901705	0.11769210281204438	0.5422786536786908	0.808843668019836	0.777483191428476	tranche_date1	90	Various	Various	5.19933758270342
11	-0.3502356480535863	1.9623214790697623	NonResidential	-5.199337582605575	1.321385838598872	0.6603443757027045	-0.13858315006072774	0.05731209682476238	0.5948590132151464	0.9750945422035768	0.7894139077408191	tranche_date1	90	Various	Various	5.19933758270342
12	0.6070357290769203	-5.199337582605575	NonResidential	-5.199337582605575	1.7159437146034884	1.0081827629546183	-1.0181277810188114	0.4491733463775523	1.1156199720278783	1.3914530299560162	0.8838938692890342	tranche_date1	112	Various	Various	5.19933758270342
15	0.11334577718581407	1.853525109416707	NonResidential	-5.199337582605575	1.5130753466158215	0.9446598406393175	-1.2469254072212976	0.7883030068370919	1.2427954542063209	1.8416726890167852	1.4455744643908879	tranche_date2	47	Various	Various	-0.8578269306977072
16	-0.24907916332218674	1.664492657688382	NonResidential	-5.199337582605575	2.0529218210912865	1.4987733266414756	-1.1442860901432401	0.608831453828365	1.63999851367101	1.9112417787408185	0.8049618702943139	tranche_date3	18	Various	Various	-0.976996536138123
17	0.8693363320446867	1.7043543710897953	NonResidential	-5.199337582605575	1.371109957500586	0.3097273237451497	-0.9528198349421094	0.1961980150454112	0.6229314468430559	1.267961113290323	1.5515112193451264	tranche_date1	88	Various	Various	5.19933758270342
18	-0.09055792405822333	1.6460317950750047	NonResidential	-5.199337582605575	2.196500880334908	1.4472480793944635	-0.7307532889540127	0.43707389078852044	1.501051448275161	1.8059396431552142	0.7307532889540127	tranche_date3	36	Various	Various	-0.9730680870190342
19	-0.07833458611046185	2.177272197178771	NonResidential	-5.199337582605575	1.5130753466158215	0.5598479057171982	-1.1540077441840446	1.1238599412211676	0.9597513451368043	1.6041325169934866	1.6441546190473815	tranche_date1	94	Various	Various	-1.2142060913056296
21	-5.199337582605575	1.5207746220062646	Nonresidential COS	-5.199337582605575	1.5130753466158215	1.7033828119631576	-0.13858315006072774	0.21825494479732735	1.363365858206039	0.8390815884350858	-0.4997736464576177	tranche_date4	12	Various	Various	-0.8764940252603001
22	-0.28221907226956444	2.2077494994786058	NonResidential	-5.199337582605575	1.0481072891215324	0.6774815800052406	-0.13858315006072774	0.23745485542385053	0.923195780165589	1.4890770550466863	1.3811892391965856	tranche_date1	86	Various	Various	5.19933758270342
23	0.31240526265837343	-5.199337582605575	NonResidential	-5.199337582605575	2.0929778029347013	1.7142323537240838	-1.2360691371847141	0.7918512706709857	1.7491470147999788	1.9776849428470666	0.6666276233463667	tranche_date3	33	Various	Various	-1.0169120874329147
24	0.08604906936516049	1.6776138490366532	NonResidential	-5.199337582605575	0.8224485747698438	0.21081695148524243	-0.13858315006072774	1.0612481240052625	0.7266515568487992	1.1235985466790535	1.489684123602311	tranche_date1	109	Various	Various	5.19933758270342
25	-0.3033591469656388	1.8962762337829233	NonResidential	-5.199337582605575	1.4314384013851016	0.6815754683044938	-1.0790596836778412	0.7709281809503699	0.939938068603852	1.3069339271650446	1.1979992846472094	tranche_date1	100	Various	Various	5.19933758270342
26	0.586917697060408	-5.199337582605575	NonResidential	-5.199337582605575	1.4314384013851016	1.9298208006459907	0.5752381267761362	0.4755706110845211	2.026855866654879	2.3252980560509386	0.8654833564602945	tranche_date1	100	Various	Various	5.19933758270342
27	1.144826286044963	-5.199337582605575	NonResidential	-5.199337582605575	1.8512871307126821	1.644182875927768	-0.13858315006072774	0.8003270137960417	2.093948560096475	2.616471744121592	1.4164193648575325	tranche_date3	31	Various	Various	5.19933758270342
